,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,1484,1506,1510,1585,1589,1615,CSA-3-S-055,CSA-3-S-090,CSA-3-S-30,CSA-3-S-31
ENSG00000077152,21.54403457,-3.154307944,0.843118572,-3.741238835,0.000183115,0.003401041,UBE2T,1.925393721,4.578861595,0,8.078373537,6.894679443,25.36339738,16.1862399,2.023845421,79.20379069,71.18576398
ENSG00000140678,449.4217464,-3.151416282,0.617056982,-5.10717223,3.27E-07,3.88E-05,ITGAX,73.16496141,53.80162374,75.21701877,168.6360476,27.57871777,519.4799538,350.3164779,106.2518846,917.0965237,2202.674254
ENSG00000143228,64.77197755,-3.148921954,1.094802105,-2.876247626,0.004024339,0.027420694,NUF2,15.40314977,10.30243859,0,35.34288423,15.85776272,33.81786317,35.84095978,7.083458973,317.8573179,176.2139403
ENSG00000155307,258.1957389,-3.14789899,0.869066787,-3.62216004,0.000292153,0.00468987,SAMSN1,50.06023675,12.59186939,41.02746478,102.9992626,42.74701255,160.6348501,80.93119951,121.4307252,655.5155834,1314.019184
ENSG00000278463,121.2736638,-3.144429715,1.129085908,-2.784933983,0.005353862,0.033153019,H2AC4,37.54517756,18.31544638,0,77.7543453,14.47882683,46.02986932,69.36959958,24.28614505,627.3773946,297.579833
ENSG00000139734,97.33386615,-3.127287131,0.726571855,-4.304167728,1.68E-05,0.000680296,DIAPH3,7.701574885,26.32845417,10.2568662,41.40166438,13.78935889,25.36339738,116.7721593,20.23845421,436.6630039,274.8237282
ENSG00000175063,55.8929111,-3.12658322,0.789599546,-3.95970747,7.50E-05,0.001861057,UBE2C,8.664271746,13.73658478,34.18955398,6.058780153,5.515743555,19.72708685,46.24639972,4.047690842,233.4427515,187.3002479
ENSG00000205364,3220.466836,-3.115061277,0.550560986,-5.657976789,1.53E-08,4.17E-06,MT1M,224.3083685,669.6585082,194.8804577,1631.831455,777.0303733,1563.136787,7606.376594,5998.677827,4003.96005,9534.807944
ENSG00000118985,9325.672063,-3.112002136,0.422798153,-7.360491323,1.83E-13,4.55E-10,ELL2,1750.182893,1467.525141,812.0019071,3686.767723,2633.767547,4580.44169,19645.4706,17103.51765,16296.17993,25280.86554
ENSG00000171051,289.0574347,-3.08100975,0.580726795,-5.305437558,1.12E-07,1.76E-05,FPR1,33.69439012,84.7089395,13.67582159,101.9894659,33.78392927,390.7841967,386.1574377,97.1445802,414.777746,1333.85784
ENSG00000167900,115.3255737,-3.064551071,0.67581736,-4.534584715,5.77E-06,0.000322199,TK1,24.06742152,32.05203116,30.77059859,28.27430738,8.273615332,61.99941582,75.15039955,19.2265315,409.5669703,463.8744456
ENSG00000116741,1438.294233,-3.052815378,0.546937596,-5.581652092,2.38E-08,5.68E-06,RGS2,236.8234277,267.8634033,153.8529929,559.4273674,253.0347356,662.2664872,1249.808952,1427.822944,2573.081042,6998.960975
ENSG00000103257,979.9500239,-3.049967199,0.571294095,-5.338698971,9.36E-08,1.52E-05,SLC7A5,89.53080804,649.053631,381.2135269,122.1853997,117.2095505,312.8152344,3218.749421,1249.724547,1637.225726,2021.792395
ENSG00000272273,300.0512756,-3.045914326,0.593048533,-5.136028769,2.81E-07,3.49E-05,IER3-AS1,128.0386825,97.30080889,10.2568662,48.47024122,40.67860872,138.089608,697.1644758,547.4501863,248.0329235,1045.030355
ENSG00000135245,305.2554891,-3.039540858,0.847281973,-3.587401778,0.000333989,0.005124152,HILPDA,48.13484303,49.22276214,63.25067487,109.0580428,57.91530732,87.3628132,120.2406393,116.3711117,1145.3285,1255.670197
ENSG00000277882,9.966379697,-3.036733736,0.909619547,-3.338465788,0.000842424,0.009394935,LOC102724602,2.888090582,0,0,4.039186769,4.136807666,3.757540353,67.05727959,6.071536262,9.379396265,2.333959475
ENSG00000281450,8.624763058,-3.02513574,1.003845135,-3.013548239,0.00258212,0.020148508,PANDAR,1.925393721,0,0,2.019593384,5.515743555,9.393850882,2.312319986,5.059613552,25.01172337,35.00939212
ENSG00000146670,72.9123999,-3.024739756,0.722872459,-4.18433393,2.86E-05,0.00096664,CDCA5,5.776181164,14.88130018,27.35164319,22.21552723,11.03148711,37.57540353,55.49567966,8.095381683,273.0446468,273.6567484
ENSG00000162747,23.21930389,-3.020905483,0.854274876,-3.536221851,0.000405894,0.005797269,FCGR3B,0,0,10.2568662,9.088170229,4.136807666,36.63601844,20.81087987,4.047690842,52.10775703,95.1088486
ENSG00000138160,191.8955204,-3.02024205,0.662310901,-4.560157543,5.11E-06,0.000293593,KIF11,47.17214617,24.03902337,20.51373239,87.85231222,50.33115994,68.57511144,94.80511943,71.84651244,898.3377312,555.482355
ENSG00000018280,645.1300876,-3.019037116,0.514849764,-5.863918616,4.52E-09,1.85E-06,SLC11A1,135.7402573,77.84064711,162.4003814,182.7732013,126.1726338,380.4509607,826.654395,321.7914219,1489.239696,2748.237282
ENSG00000066279,374.4807076,-3.005169692,0.96942319,-3.099956471,0.001935491,0.016632166,ASPM,33.69439012,61.81463153,78.63597416,181.7634046,59.29424321,46.02986932,455.5270372,53.63190365,1686.207017,1088.208605
ENSG00000117724,535.8761792,-3.003746741,0.949411208,-3.163799539,0.00155724,0.01433642,CENPF,80.86653629,92.72194729,85.47388496,261.5373433,86.87296099,94.87789391,502.929597,63.75113075,2328.174584,1761.555914
ENSG00000226172,20.96083456,-3.001368048,0.84880653,-3.535986048,0.000406256,0.005797269,LOC105378933,5.776181164,1.144715399,0,12.11756031,5.515743555,0.939385088,32.3724798,129.5261069,9.379396265,12.83677711
ENSG00000100526,103.9628973,-2.997872664,1.051015669,-2.852357728,0.004339623,0.028830883,CDKN3,38.50787443,12.59186939,0,88.86210891,9.652551221,153.1197694,128.3337592,21.25037692,348.079817,239.2308462
ENSG00000165480,35.04920618,-2.996903959,0.879225883,-3.408571129,0.000653041,0.007907043,SKA3,1.925393721,6.868292392,0,9.088170229,24.13137805,18.78770176,20.81087987,6.071536262,149.0281851,113.7805244
ENSG00000162772,853.2845224,-2.996893587,0.486444271,-6.160815871,7.24E-10,4.23E-07,ATF3,132.8521668,143.0894248,519.6812206,115.1168229,137.8935889,465.9350037,1419.764471,2360.815683,1014.016952,2223.67989
ENSG00000200389,12.95334076,-2.994277871,0.704058698,-4.252881014,2.11E-05,0.000787002,RNU6-509P,3.850787443,4.578861595,0,5.048983461,0.689467944,8.454465794,20.81087987,42.50075384,20.84310281,22.75610488
ENSG00000071539,68.71749354,-2.993915332,0.589817536,-5.076002578,3.85E-07,4.44E-05,TRIP13,11.55236233,4.578861595,34.18955398,17.16654377,11.03148711,54.48433511,75.15039955,37.44114028,225.1055104,216.4747413
ENSG00000175592,99.94811739,-2.990236929,0.644550682,-4.63925803,3.50E-06,0.0002232,FOSL1,19.25393721,27.47316957,58.12224177,16.15674707,4.136807666,55.4237202,356.0972778,262.087982,43.77051591,156.9587747
ENSG00000118193,106.3043654,-2.989941398,0.708168307,-4.222077392,2.42E-05,0.000867288,KIF14,21.17933093,21.74959257,27.35164319,33.32329084,14.47882683,27.24216756,120.2406393,14.16691795,504.4030881,278.9081572
ENSG00000229132,68.56972052,-2.981631901,0.489432205,-6.092022282,1.11E-09,6.27E-07,EIF4A1P10,20.21663407,11.44715399,6.837910797,31.30369746,10.34201917,61.06003073,180.3609589,54.64382636,134.4380131,175.0469606
ENSG00000278588,158.6322139,-2.970647376,1.084775249,-2.738491111,0.006172183,0.036347841,H2BC10,26.9555121,34.34146196,0,96.94048245,43.43648049,97.69604917,83.2435195,46.54844468,705.5390302,451.6211584
ENSG00000095970,42.31444974,-2.96942101,0.741546462,-4.004362722,6.22E-05,0.001652347,TREM2,19.25393721,6.868292392,0,8.078373537,19.99457039,3.757540353,64.74495961,47.56036739,134.4380131,118.4484433
ENSG00000065328,59.95023674,-2.966756967,0.763866581,-3.883867999,0.000102808,0.002288797,MCM10,8.664271746,11.44715399,17.09477699,26.254714,4.82627561,45.09048423,20.81087987,8.095381683,269.9181814,187.3002479
